Image_Address, Actual_Angle
perf_data/IMG/center_2024_02_06_00_23_54_627.jpg,0.0
perf_data/IMG/center_2024_02_06_00_23_54_855.jpg,0.0
perf_data/IMG/center_2024_02_06_00_23_55_306.jpg,0.0
perf_data/IMG/center_2024_02_06_00_23_55_534.jpg,0.0
perf_data/IMG/center_2024_02_06_00_23_55_878.jpg,0.0
perf_data/IMG/center_2024_02_06_00_23_56_445.jpg,0.0
perf_data/IMG/center_2024_02_06_00_23_56_568.jpg,0.0
perf_data/IMG/center_2024_02_06_00_23_56_654.jpg,0.0
perf_data/IMG/center_2024_02_06_00_23_56_773.jpg,0.0
perf_data/IMG/center_2024_02_06_00_23_56_891.jpg,-0.2627067
perf_data/IMG/center_2024_02_06_00_23_57_009.jpg,-0.219567
perf_data/IMG/center_2024_02_06_00_23_57_128.jpg,-0.5047789
perf_data/IMG/center_2024_02_06_00_23_57_246.jpg,-0.5132183
perf_data/IMG/center_2024_02_06_00_23_57_369.jpg,-0.4241509
perf_data/IMG/center_2024_02_06_00_23_57_469.jpg,-0.3871525
perf_data/IMG/center_2024_02_06_00_23_57_688.jpg,0.0
perf_data/IMG/center_2024_02_06_00_23_57_795.jpg,-0.02040848
perf_data/IMG/center_2024_02_06_00_23_57_901.jpg,-0.0506251
perf_data/IMG/center_2024_02_06_00_23_58_004.jpg,-0.05582446
perf_data/IMG/center_2024_02_06_00_23_58_109.jpg,-0.2005779
perf_data/IMG/center_2024_02_06_00_23_58_212.jpg,-0.2824492
perf_data/IMG/center_2024_02_06_00_23_58_320.jpg,-0.3074288
perf_data/IMG/center_2024_02_06_00_23_58_424.jpg,-0.3113472
perf_data/IMG/center_2024_02_06_00_23_58_533.jpg,-0.3134194
perf_data/IMG/center_2024_02_06_00_23_58_641.jpg,-0.3134194
perf_data/IMG/center_2024_02_06_00_23_58_750.jpg,-0.3172247
perf_data/IMG/center_2024_02_06_00_23_58_861.jpg,-0.3047538
perf_data/IMG/center_2024_02_06_00_23_58_971.jpg,-0.08219811
perf_data/IMG/center_2024_02_06_00_23_59_217.jpg,0.0
