Image_Address, Actual_Angle,Predicted_Angle
perf_data/IMG/center_2024_02_06_00_23_54_627.jpg,0.0,-0.16488814
perf_data/IMG/center_2024_02_06_00_23_54_855.jpg,0.0,-0.1661189
perf_data/IMG/center_2024_02_06_00_23_55_306.jpg,0.0,-0.16587158
perf_data/IMG/center_2024_02_06_00_23_55_534.jpg,0.0,-0.1640928
perf_data/IMG/center_2024_02_06_00_23_55_878.jpg,0.0,-0.16331054
perf_data/IMG/center_2024_02_06_00_23_56_445.jpg,0.0,-0.16663793
perf_data/IMG/center_2024_02_06_00_23_56_568.jpg,0.0,-0.16764916
perf_data/IMG/center_2024_02_06_00_23_56_654.jpg,0.0,-0.16771722
perf_data/IMG/center_2024_02_06_00_23_56_773.jpg,0.0,-0.1796139
perf_data/IMG/center_2024_02_06_00_23_56_891.jpg,-0.2627067,-0.16436961
perf_data/IMG/center_2024_02_06_00_23_57_009.jpg,-0.219567,-0.16637847
perf_data/IMG/center_2024_02_06_00_23_57_128.jpg,-0.5047789,-0.16613907
perf_data/IMG/center_2024_02_06_00_23_57_246.jpg,-0.5132183,-0.1613909
perf_data/IMG/center_2024_02_06_00_23_57_369.jpg,-0.4241509,-0.13690683
perf_data/IMG/center_2024_02_06_00_23_57_469.jpg,-0.3871525,-0.14244881
perf_data/IMG/center_2024_02_06_00_23_57_688.jpg,0.0,-0.08407741
perf_data/IMG/center_2024_02_06_00_23_57_795.jpg,-0.02040848,-0.06880551
perf_data/IMG/center_2024_02_06_00_23_57_901.jpg,-0.0506251,-0.0971841
perf_data/IMG/center_2024_02_06_00_23_58_004.jpg,-0.05582446,-0.10734922
perf_data/IMG/center_2024_02_06_00_23_58_109.jpg,-0.2005779,-0.07495285
perf_data/IMG/center_2024_02_06_00_23_58_212.jpg,-0.2824492,-0.06757005
perf_data/IMG/center_2024_02_06_00_23_58_320.jpg,-0.3074288,-0.04050467
perf_data/IMG/center_2024_02_06_00_23_58_424.jpg,-0.3113472,-0.034527067
perf_data/IMG/center_2024_02_06_00_23_58_533.jpg,-0.3134194,-0.016623303
perf_data/IMG/center_2024_02_06_00_23_58_641.jpg,-0.3134194,-0.004272853
perf_data/IMG/center_2024_02_06_00_23_58_750.jpg,-0.3172247,-0.009646536
perf_data/IMG/center_2024_02_06_00_23_58_861.jpg,-0.3047538,0.00864262
perf_data/IMG/center_2024_02_06_00_23_58_971.jpg,-0.08219811,0.017903015
perf_data/IMG/center_2024_02_06_00_23_59_217.jpg,0.0,0.016927939
perf_data/IMG/center_2024_02_06_00_23_59_324.jpg,0.0,0.02766218
perf_data/IMG/center_2024_02_06_00_23_59_434.jpg,0.0,0.08685692
perf_data/IMG/center_2024_02_06_00_23_59_545.jpg,0.0,0.07544504
perf_data/IMG/center_2024_02_06_00_23_59_870.jpg,-0.03672242,0.03560224
perf_data/IMG/center_2024_02_06_00_23_59_979.jpg,-0.125903,0.030783202
perf_data/IMG/center_2024_02_06_00_24_00_085.jpg,-0.2834288,-0.0023655938
perf_data/IMG/center_2024_02_06_00_24_00_293.jpg,-0.3250614,0.042952694
perf_data/IMG/center_2024_02_06_00_24_00_406.jpg,0.0,0.0419258
perf_data/IMG/center_2024_02_06_00_24_00_641.jpg,0.0,0.030904282
perf_data/IMG/center_2024_02_06_00_24_00_890.jpg,0.0,0.026270881
perf_data/IMG/center_2024_02_06_00_24_01_130.jpg,0.0,0.01767407
perf_data/IMG/center_2024_02_06_00_24_01_367.jpg,0.0,0.0069450317
perf_data/IMG/center_2024_02_06_00_24_01_482.jpg,-0.1291431,0.010879259
perf_data/IMG/center_2024_02_06_00_24_01_601.jpg,-0.1902546,0.01601369
perf_data/IMG/center_2024_02_06_00_24_01_720.jpg,-0.2003142,0.021312416
perf_data/IMG/center_2024_02_06_00_24_01_840.jpg,-0.2003142,0.027357392
perf_data/IMG/center_2024_02_06_00_24_01_967.jpg,-0.2003142,0.03867695
perf_data/IMG/center_2024_02_06_00_24_02_273.jpg,0.0,0.03602386
perf_data/IMG/center_2024_02_06_00_24_02_583.jpg,0.0,0.018884357
perf_data/IMG/center_2024_02_06_00_24_02_794.jpg,0.0,0.048312765
perf_data/IMG/center_2024_02_06_00_24_03_004.jpg,0.0,-0.00035038684
perf_data/IMG/center_2024_02_06_00_24_03_323.jpg,-0.006392783,-0.10906262
perf_data/IMG/center_2024_02_06_00_24_03_429.jpg,-0.04226087,-0.09531975
perf_data/IMG/center_2024_02_06_00_24_03_534.jpg,-0.04987158,-0.21331309
perf_data/IMG/center_2024_02_06_00_24_03_640.jpg,-0.1277868,-0.19925624
perf_data/IMG/center_2024_02_06_00_24_03_746.jpg,-0.3409232,-0.18943445
perf_data/IMG/center_2024_02_06_00_24_03_852.jpg,-0.3703487,-0.15419659
perf_data/IMG/center_2024_02_06_00_24_03_965.jpg,-0.2304178,-0.10777878
perf_data/IMG/center_2024_02_06_00_24_04_083.jpg,-0.05296108,-0.08539738
perf_data/IMG/center_2024_02_06_00_24_04_328.jpg,0.0,-0.024018466
perf_data/IMG/center_2024_02_06_00_24_04_450.jpg,0.0,-0.041152406
perf_data/IMG/center_2024_02_06_00_24_04_826.jpg,0.0,-0.06970385
